feature,feature_ru,block,block_ru,roc_auc_raw,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,p_mannwhitney,missing_rate,std,q_fdr
event__z_peak,Амплитуда события (z),event,Транзиентные события,0.03502415458937198,0.964975845410628,-2.3302479574189605,2.3302479574189605,1.9035173368917526e-24,0.0,0.7621082393908679,5.653446490568505e-22
event__propagation_ms,"Распространение события, мс",event,Транзиентные события,0.9412741545893721,0.9412741545893721,2.2034857008326165,2.2034857008326165,3.517084520033315e-22,0.0,13.438820698624538,5.222870512249473e-20
event__spike_to_slow_ratio,Транзиентные события · spike to slow ratio,event,Транзиентные события,0.9202898550724639,0.9202898550724639,1.0829277517849636,1.0829277517849636,2.884725172442206e-20,0.0,0.4322354242007282,2.855877920717784e-18
conn__clustering__plv_theta,Функциональная связность · clustering · plv theta,conn,Функциональная связность,0.13088768115942026,0.8691123188405797,-1.3512420460605923,1.3512420460605923,5.50138828328426e-16,0.0,0.060433727074931484,4.0847808003385634e-14
event__n_involved_ch,Транзиентные события · n involved ch,event,Транзиентные события,0.8408061594202899,0.8408061594202899,1.1307276973039035,1.1307276973039035,6.457638758560081e-14,0.0,3.3551115893170795,3.8358374225846884e-12
event__line_length_uv,Транзиентные события · line length uv,event,Транзиентные события,0.8331823671497585,0.8331823671497585,0.5497899025899595,0.5497899025899595,2.646424987086715e-13,0.0,61.11634697139047,1.309980368607924e-11
event__slow_peak_uv,Транзиентные события · slow peak uv,event,Транзиентные события,0.8194444444444445,0.8194444444444445,1.0803857516580142,1.0803857516580142,2.387721694354603e-12,0.0,12.496849244745766,1.0130762046047386e-10
event__peak_to_peak_uv,Транзиентные события · peak to peak uv,event,Транзиентные события,0.8159722222222223,0.8159722222222223,0.9720211555015174,0.9720211555015174,4.104873602379383e-12,0.0,12.43737281858098,1.523934324883346e-10
conn__hub_z_max__plv_delta,Функциональная связность · hub z max · plv delta,conn,Функциональная связность,0.18674516908212557,0.8132548309178744,-1.129118548691132,1.129118548691132,6.2478896447178316e-12,0.0,0.1363893016369371,2.0618035827568843e-10
aper__aperiodic_intercept_log10__parietal,Апериодический компонент · Апериодический компонентiodic intercept log10 · parietal,aper,Апериодический компонент,0.8057065217391304,0.8057065217391304,1.1420608092640874,1.1420608092640874,1.9703417093645045e-11,0.0,0.49732067767528787,5.442046526118179e-10
aper__aperiodic_intercept_log10__temporal,Апериодический компонент · Апериодический компонентiodic intercept log10 · temporal,aper,Апериодический компонент,0.8055555555555556,0.8055555555555556,1.1375749353435916,1.1375749353435916,2.0155727874511774e-11,0.0,0.5727193655062421,5.442046526118179e-10
burst__pct_time__occipital_alpha,Burst-активность · pct time · occipital alpha,burst,Burst-активность,0.8020833333333333,0.8020833333333333,0.9997637822086023,0.9997637822086023,3.387022526561812e-11,0.0,3.5338644214619475,8.382880753240485e-10
aper__aperiodic_intercept_log10__frontal,Апериодический компонент · Апериодический компонентiodic intercept log10 · frontal,aper,Апериодический компонент,0.7964975845410628,0.7964975845410628,1.1285406098796067,1.1285406098796067,7.713719275527255e-11,0.0,0.5202983869535476,1.7622881729473806e-09
conn__hub_z_max__dtf_delta,Функциональная связность · hub z max · dtf delta,conn,Функциональная связность,0.7916666666666666,0.7916666666666666,1.1237997120696217,1.1237997120696217,1.553285578126389e-10,0.0,0.1991181267779172,3.2951844050252677e-09
conn__clustering__coh_theta,Функциональная связность · clustering · coh theta,conn,Функциональная связность,0.21769323671497584,0.7823067632850241,-0.6759977867116944,0.6759977867116944,5.842958024259096e-10,0.0,0.06436329700247455,1.0424945272889713e-08
spec_shape__spectral_entropy_norm__frontal,Форма спектра · spectral entropy norm · frontal,spec_shape,Форма спектра,0.21784420289855072,0.7821557971014492,-1.045041959178796,1.045041959178796,5.967140391889735e-10,0.0,0.0732457693763617,1.0424945272889713e-08
spec_shape__spectral_entropy_raw__frontal,Форма спектра · spectral entropy raw · frontal,spec_shape,Форма спектра,0.21784420289855072,0.7821557971014492,-1.0450419591787885,1.0450419591787885,5.967140391889735e-10,0.0,0.37913106956961895,1.0424945272889713e-08
conn__clustering__pdc_beta,Функциональная связность · clustering · pdc beta,conn,Функциональная связность,0.7777777777777778,0.7777777777777778,1.067154377275833,1.067154377275833,1.0929763625306882e-09,0.0,0.09963347056407887,1.744244460911262e-08
dfa__dfa_exp__frontal_alpha,DFA · DFA exp · frontal alpha,dfa,DFA,0.7776268115942029,0.7776268115942029,1.042285237626885,1.042285237626885,1.1158466248253865e-09,0.0,0.09113307170423532,1.744244460911262e-08
dfa__dfa_exp__occipital_alpha,DFA · DFA exp · occipital alpha,dfa,DFA,0.7768719806763286,0.7768719806763286,1.0969821672769275,1.0969821672769275,1.237380663779967e-09,0.0,0.09937206001132262,1.8375102857132512e-08
conn__hub_z_max__plv_beta,Функциональная связность · hub z max · plv beta,conn,Функциональная связность,0.223731884057971,0.776268115942029,-1.066771737493484,1.066771737493484,1.343812160857829e-09,0.0,0.1369433733449152,1.8458428514792757e-08
aper__aperiodic_slope__frontal,Апериодический компонент · Апериодический компонентiodic slope · frontal,aper,Апериодический компонент,0.22418478260869568,0.7758152173913043,-0.9693323545586681,0.9693323545586681,1.429440592054658e-09,0.0,0.4843260813902156,1.8458428514792757e-08
aper__aperiodic_exponent__frontal,Апериодический компонент · Апериодический компонентiodic exponent · frontal,aper,Апериодический компонент,0.7758152173913043,0.7758152173913043,0.9693323545586681,0.9693323545586681,1.429440592054658e-09,0.0,0.4843260813902156,1.8458428514792757e-08
aper__aperiodic_intercept_log10__central,Апериодический компонент · Апериодический компонентiodic intercept log10 · central,aper,Апериодический компонент,0.7743055555555556,0.7743055555555556,1.0490147568707586,1.0490147568707586,1.7550466249389762e-09,0.0,0.4889698271094543,2.171870198361983e-08
spec_shape__spectral_entropy_raw__central,Форма спектра · spectral entropy raw · central,spec_shape,Форма спектра,0.2267512077294686,0.7732487922705313,-1.0081510450692717,1.0081510450692717,2.0248716106955044e-09,0.0,0.31833175147681786,2.3130264168329416e-08
spec_shape__spectral_entropy_norm__central,Форма спектра · spectral entropy norm · central,spec_shape,Форма спектра,0.2267512077294686,0.7732487922705313,-1.0081510450692663,1.0081510450692663,2.0248716106955044e-09,0.0,0.061499718501869555,2.3130264168329416e-08
dfa__dfa_exp__parietal_alpha,DFA · DFA exp · parietal alpha,dfa,DFA,0.7715881642512078,0.7715881642512078,1.0199965450147548,1.0199965450147548,2.532423756542999e-09,0.0,0.0970466699984155,2.785666132197299e-08
conn__global_efficiency__plv_theta,Функциональная связность · global efficiency · plv theta,conn,Функциональная связность,0.23022342995169082,0.7697765700483092,-0.9378487017738449,0.9378487017738449,3.227483493482515e-09,0.0,0.0335246229271541,3.423437848443953e-08
aper__aperiodic_slope__parietal,Апериодический компонент · Апериодический компонентiodic slope · parietal,aper,Апериодический компонент,0.2326388888888889,0.7673611111111112,-0.9890745135324296,0.9890745135324296,4.448965797086122e-09,0.0,0.3181748751324984,4.4044761391152604e-08
aper__aperiodic_exponent__parietal,Апериодический компонент · Апериодический компонентiodic exponent · parietal,aper,Апериодический компонент,0.7673611111111112,0.7673611111111112,0.9890745135324296,0.9890745135324296,4.448965797086122e-09,0.0,0.3181748751324984,4.4044761391152604e-08
conn__global_efficiency__pdc_beta,Функциональная связность · global efficiency · pdc beta,conn,Функциональная связность,0.23958333333333334,0.7604166666666666,-0.9503946936191081,0.9503946936191081,1.1025328082098923e-08,0.0,0.023730328111688643,1.0232882626198063e-07
conn__hub_z_max__coh_delta,Функциональная связность · hub z max · coh delta,conn,Функциональная связность,0.24139492753623185,0.7586050724637682,-0.9479797066387464,0.9479797066387464,1.3918491000834622e-08,0.0,0.1223442985199699,1.252664190075116e-07
burst__pct_time__frontal_alpha,Burst-активность · pct time · frontal alpha,burst,Burst-активность,0.7580012077294687,0.7580012077294687,0.951274927971627,0.951274927971627,1.503687673929626e-08,0.0,3.078617384642853,1.313515409285585e-07
aper__aperiodic_slope__temporal,Апериодический компонент · Апериодический компонентiodic slope · temporal,aper,Апериодический компонент,0.24290458937198064,0.7570954106280193,-0.9890803146166957,0.9890803146166957,1.6881667724483666e-08,0.0,0.5135720236459981,1.3927375872699025e-07
aper__aperiodic_exponent__temporal,Апериодический компонент · Апериодический компонентiodic exponent · temporal,aper,Апериодический компонент,0.7570954106280193,0.7570954106280193,0.9890803146166957,0.9890803146166957,1.6881667724483666e-08,0.0,0.5135720236459981,1.3927375872699025e-07
spec_shape__sef95_hz__frontal,Форма спектра · sef95 hz · frontal,spec_shape,Форма спектра,0.2456219806763285,0.7543780193236715,-0.9746918387024786,0.9746918387024786,2.3830197465703984e-08,0.0,6.183526087246523,1.9128563911659684e-07
burst__pct_time__parietal_alpha,Burst-активность · pct time · parietal alpha,burst,Burst-активность,0.7540760869565218,0.7540760869565218,0.9235073241276345,0.9235073241276345,2.4754838220591385e-08,0.0,3.2235639084796097,1.9213500441844273e-07
burst__pct_time__central_alpha,Burst-активность · pct time · central alpha,burst,Burst-активность,0.7539251207729469,0.7539251207729469,0.9933777521342236,0.9933777521342236,2.5229849065048034e-08,0.0,2.4990480804604065,1.9213500441844273e-07
conn__clustering__plv_delta,Функциональная связность · clustering · plv delta,conn,Функциональная связность,0.24864130434782608,0.751358695652174,-0.8560275978972943,0.8560275978972943,3.48106358833652e-08,0.0,0.05072279317867875,2.5216485017949917e-07
event__slope_rise_uvs,Транзиентные события · slope rise uvs,event,Транзиентные события,0.7468297101449275,0.7468297101449275,0.5935143413376659,0.5935143413376659,6.096937438900616e-08,0.0,1393.8636738041052,4.3114057603654355e-07
spec_shape__spectral_entropy_norm__temporal,Форма спектра · spectral entropy norm · temporal,spec_shape,Форма спектра,0.257548309178744,0.742451690821256,-0.8410157663110327,0.8410157663110327,1.0385695257002083e-07,0.0,0.08063109649986203,7.010344298476406e-07
spec_shape__spectral_entropy_raw__temporal,Форма спектра · spectral entropy raw · temporal,spec_shape,Форма спектра,0.257548309178744,0.742451690821256,-0.8410157663110321,0.8410157663110321,1.0385695257002083e-07,0.0,0.4173586285848955,7.010344298476406e-07
event__slope_fall_uvs,Транзиентные события · slope fall uvs,event,Транзиентные события,0.2595108695652174,0.7404891304347826,-0.5579543084276651,0.5579543084276651,1.3148278360292617e-07,0.0,1294.458139474496,8.677863717793126e-07
